nome,data_nascimento,numero_cnh
Gustavo Sozzi Bom,23-09-2003,12345678911
Keven Wendler,23-08-2020,123456
Carlos Almeida,15-04-1995,98765432100
Fernanda Lima,02-12-1998,45678912345
Ricardo Souza,18-07-1990,32165498701
Mariana Costa,10-10-1992,74185296300
Juliana Mendes,05-06-1988,85274196312
Lucas Pereira,20-03-1996,15935748620
Bruno Santos,12-01-1994,95175385246
Camila Rocha,30-09-1993,75315985214
Rafael Martins,14-11-1989,14725836910
Aline Barros,08-02-1997,36925814700
Thiago Ribeiro,19-05-1991,78945612378
Beatriz Alves,21-08-1999,65498732145
Daniel Ferreira,03-03-1990,25836914752
Patricia Gomes,25-12-1992,95145678932
Felipe Castro,17-07-1987,35715945621
Larissa Nunes,11-04-1995,15975348620
André Carvalho,06-06-1993,75348615900
Vanessa Dias,28-02-1998,45612378965
João Silva,01-01-2010,123456
Maria Oliveira,15-05-2012,9876543
Pedro Santos,10-09-2011,12345
Ana Souza,22-03-2013,123456789
Lucas Lima,30-07-2009,45678
Julia Rocha,18-08-2014,98765
Matheus Pereira,05-02-2015,1234
Bianca Alves,14-10-2010,456789
Gabriel Costa,27-11-2013,789123
Larissa Mendes,09-06-2012,32145
Rafael Gomes,19-01-2014,654321
Fernanda Ribeiro,23-04-2011,14785
Thiago Martins,12-12-2013,25896
Camila Barros,03-03-2012,36987
Bruno Ferreira,08-08-2014,74123
Juliana Carvalho,17-09-2011,85214
Felipe Dias,29-05-2015,96325
Patricia Castro,07-07-2013,15984
André Nunes,21-02-2010,75396
Vanessa Almeida,30-10-2012,45612
Carlos Rocha,01-01-2009,1234
Mariana Silva,15-03-2011,56789
Ricardo Lima,22-07-2013,9876
Aline Costa,10-10-2014,1234567
Daniel Souza,18-12-2012,4567
Beatriz Pereira,05-05-2015,7890
Lucas Mendes,09-09-2013,3210
Julia Santos,14-02-2011,6543
Pedro Rocha,20-06-2014,1478
Gabriel Alves,11-11-2012,2589
Fernanda Gomes,03-04-2013,3690
Thiago Silva,16-08-2015,7412
Camila Lima,28-09-2011,8523
Bruno Costa,07-07-2014,9632
Juliana Ferreira,19-01-2013,1598
Felipe Almeida,25-12-2012,7539
Patricia Rocha,30-03-2015,4561
André Lima,12-12-2014,123
Vanessa Pereira,08-08-2013,567
Carlos Mendes,17-07-2012,890
Mariana Santos,23-05-2014,234
Ricardo Alves,09-09-2011,678
Aline Rocha,15-02-2015,345
Daniel Costa,28-10-2013,901
Beatriz Silva,04-04-2012,2345
Lucas Ferreira,11-11-2014,6789
Julia Almeida,06-06-2013,123
Pedro Lima,19-09-2015,456
Gabriel Rocha,21-01-2012,789
Fernanda Costa,13-03-2014,1011
Thiago Alves,30-07-2013,1213
Camila Silva,22-02-2015,1415
Bruno Mendes,18-05-2011,1617
Juliana Lima,07-07-2014,1819
Felipe Rocha,12-12-2013,2021
Patricia Silva,01-01-2015,2223
André Costa,16-08-2012,2425
Vanessa Mendes,09-09-2014,2627
Carlos Pereira,03-03-2013,2829
Mariana Ferreira,14-10-2015,3031
Ricardo Costa,20-06-2011,3233
Aline Mendes,25-12-2014,3435
Daniel Lima,11-11-2013,3637
Beatriz Rocha,05-05-2015,3839
Lucas Costa,08-08-2012,4041
Julia Ferreira,19-01-2014,4243
Pedro Mendes,30-03-2013,4445
Gabriel Silva,12-12-2015,4647
Fernanda Pereira,07-07-2012,4849
Thiago Costa,21-02-2014,5051
Camila Mendes,28-09-2013,5253
Bruno Silva,10-10-2015,5455
Juliana Pereira,15-02-2012,5657
Felipe Costa,04-04-2014,5859
Patricia Mendes,18-05-2013,6061
André Silva,23-05-2015,6263
Vanessa Rocha,09-09-2012,6465
